Id,Nombre Municipio,Nombre Departamento,Norte,Este,Latitud,Longitud
UNCA,Palestina,Caldas,2119091.929,4703703.201,5.07229143,-75.67325149
UNME,Medellín,Antioquia,2250858.439,4714952.36,6.26398477,-75.57711126
URR0,Tierraalta,Córdoba,2444735.641,4646211.285,8.01230288,-76.21020275
UWAS,Güicán,Boyacá,2270832.364,5067277.587,6.45071505,-72.39133445
VALL,Valledupar,Cesar,2715414.032,4972437.236,10.47396779,-73.25196901
VAUC,Arauca,Arauca,2339471.028,5250287.239,7.06672191,-70.73329955
VBAM,El Banco,Magdalena,2557714.446,4893513.928,9.04586978,-73.96927875
VBAR,Barrancabermeja,Santander,2334661.585,4911029.663,7.02801978,-73.8058631
VBUV,Caldas,Boyacá,2169478.359,4904898.95,5.53320833,-73.85893524
VCAR,Puerto Carreño,Vichada,2244320.271,5609726.062,6.18253258,-67.49484621
VCRG,La Unión,Antioquia,2219436.824,4732358.13,5.98062663,-75.4185653
VCTG,Cartagena,Bolívar,2687143.358,4725616.196,10.20864925,-75.50546836
VDPR,Valledupar,Cesar,2711195.99,4972887.121,10.43580677,-73.24782608
VEDE,La Tebaida,Quindio,2051435.712,4693206.092,4.46030167,-75.76543725
VIVI,Villavicencio,Meta,2008273.048,4935204.071,4.07466273,-73.58399403
VMAG,Magangué,Bolívar,2584720.466,4797163.872,9.28674272,-74.84731898
VMAR,Marinilla,Antioquia,2241004.258,4742895.514,6.1760596,-75.32423486
VMER,Mercaderes,Cauca,1755791.38,4537842.95,1.78501411,-77.1532955
VMES,Los Santos,Santander,2318597.937,4989875.146,6.88333419,-73.09168234
VNEI,Neiva,Huila,1896651.214,4749432.437,3.06224738,-75.25530536
VORA,Carepa,Antioquia,2423745.393,4589564.832,7.8184415,-76.72180635
VORI,Ipiales,Nariño,1653723.303,4479754.942,0.86303965,-77.67248937
VPIJ,Ibagué,Tolima,2044160.311,4766304.364,4.39668869,-75.10669166
VPOL,Polonuevo,Atlántico,2751367.72,4796622.118,10.79377316,-74.86084458
VPOM,Villavicencio,Meta,2007493.352,4957589.122,4.06772765,-73.3822421
VQUI,Quibdó,Chocó,2188263.175,4596647.71,5.69231609,-76.64170417
VROS,El Rosal,Cundinamarca,2093735.572,4853315.522,4.84704821,-74.32332868
VSJG,San José del Guaviare,Guaviare,1837863.679,5040118.74,2.5325127,-72.63897082
VSJP,Pereira,Risaralda,2086963.202,4685562.16,4.78117881,-75.83556008
VSOA,Soacha,Cundinamarca,2066705.844,4858859.052,4.6025774,-74.27287945
VTAM,Tame,Arauca,2271147.059,5137789.725,6.45240179,-71.75347504
VTUL,Tuluá,Valle del Cauca,2010842.4,4642154.511,4.091623,-76.22362414
VYPL,Yopal,Casanare,2140951.245,5063459.798,5.27539234,-72.42707331
VZPQ,Zipaquirá,Cundinamarca,2112676.968,4890631.317,5.01902249,-73.98697315
YMBO,Yumbo,Valle del Cauca,1947353.613,4610955.164,3.51691432,-76.50202191
YOPA,Yopal,Casanare,2146079.234,5067672.638,5.32176259,-72.38899484
ZARZ,Zarzal,Valle del Cauca,2044517.431,4659628.721,4.39657646,-76.06756712
ZBNO,Zambrano,Bolivar,2634313.001,4798771.992,9.73532257,-74.83506859
ZRZL,Zarzal,Valle del Cauca,2043903.389,4658794.367,4.39099618,-76.07505661
ABCH,Fómeque,Cundinamarca,2070531.016,4919914.056,4.63796581,-73.72233083
SBOG,Soacha,Cundinamarca,2065431.79,4868028.858,4.5911924,-74.1901749
GRZN,Garzón,Huila,1803643.472,4712550.022,2.22056827,-75.58532256
3MAT,Cumaribo,Vichada,2055051.684,5258692.942,4.49450611,-70.66777576
MSET,Mesetas,Meta,1931343.625,4883583.837,3.37805343,-74.04837251
PLTA,La Plata,Huila,1824760.866,4679627.801,2.41090355,-75.8815719
CBYR,Cabuyaro,Meta,2031444.375,5022961.949,4.28455805,-72.79298993
MLGS,Málaga,Santander,2298706.663,5028957.272,6.70326367,-72.73788508
SJFR,San José del Fragua,Caquetá,1706751.482,4668073.116,1.34405327,-75.98359606
PULL,Puerto Lleras,Meta,1919257.35,4958379.289,3.26916281,-73.37478772
SJGU,San José del Guaviare,Guaviare,1842306.106,5039705.656,2.57272027,-72.64267702
UNIO,La Unión,Sucre,2536856.988,4749623.759,8.85148671,-75.27734397
EMCA,Cali,Valle del Cauca,1938873.88,4607944.174,3.44021163,-76.52880586
AGBO,Algarrobo,Magdalena,2696966.258,4885827.976,10.30547,-74.04311
MILN,Milan,Caqueta,1700752.638,4721091.524,1.29035,-75.50731
MEDN,Medina,Cundinamarca,2056360.532,4961128.227,4.51000268,-73.35054668
SLTA,Solita,Caquetá,1655710.344,4708711.578,0.88299224,-75.61817502
P4VI,El Paso,Cesar,2633986.765,4922208.281,9.73656538,-73.70951045
ASTR,Astrea,Cesar,2608770.728,4893292.91,9.50778407,-73.97256202
VHER,"Vista Hermosa
",Meta,1904031.786,4915892.252,3.131157,-73.7572586
PRIC,Puerto Rico,Meta,1883873.313,4978654.303,2.94896723,-73.19215759
CLMA,Calamar,Guaviare,1774599.338,5039302.574,1.95993312,-72.6464531
MPAN,Mapiripán,Meta,1877918.098,5097334.728,2.89474486,-72.12385086
UIBE,"La Uribe
",Meta,1916020.55,4850299.579,3.23903737,-74.34787312
"PTRI
","Puerto Rico
","Caquetá
",1768458.607,4758618.164,1.90301709,-75.17077367
"SVDC
","San Vicente del Caguán
","Caquetá
",1798377.757,4801198.662,2.17411928,-74.78827999
VLEN,Valencia,Córdoba,2472229.404,4652193.651,8.2611361,-76.15792304
"PLCO
","Puerto Libertador
","Córdoba
",2430639.763,4704883.148,7.88868881,-75.67743716
CALE,Campo Alegre,Huila,1846900.608,4737198.98,2.6121166,-75.3644398
CCHA,Cartagena Del Chairá,Caquetá,1706413.867,4794803.221,1.342133,-74.844972
CRRU,Carurú,Vaupés,1670902.77,5188208.307,1.020978,-71.307923
LEGU,Leguízamo,Putumayo,1551724.657,4815554.113,-0.0572219,-74.658
LMAC,La Macarena,Meta,1797707.664,4912288.629,2.168913,-73.789092
MFLO,Miraflores,"Guaviare
Guaviare",1706647.704,5116951.982,1.344722,-71.948333
NECI,Nechi,Antioquia,2451662.267,4804373.684,8.083635,-74.776006
POSP,Leguízamo,Putumayo,1573752.051,4681501.382,0.141944,-75.862222
GNDA,Granada,Meta,1948816.961,4922624.791,3.536503,-73.696931
CUMA,Cumaribo,Vichada,2050670.728,5354338.772,4.45165,-69.806443
MANI,Maní,Casanare,2091329.491,5078988.335,4.826194,-72.287376
VELZ,Vélez,Santander,2216294.114,4928464.264,5.957135,-73.646586
DIST,Distracción,La Guajira,2760613.213,5012194.581,10.883001,-72.888372
PURO,Arauca,Puerto Rondón,2252657.98,5210025.68,6.283155,-71.100804
AYAP,Ayapel,Córdoba,2475239.665,4761703.89,8.29497,-75.164366
